1:0.434,0.178,0.172,0.168,0.166,0.104,0.076,0.0,0.0,0.0
2:3.078,0.306,0.292,0.286,0.286,0.24,0.0,0.0,0.0,0.0
3:3.126,3.07,3.026,2.924,2.908,0.414,0.342,0.216,0.0,0.0
4:3.262,3.206,3.158,3.114,3.086,3.032,0.23,0.032,0.0,0.0
5:3.13,3.052,2.974,2.932,2.928,2.914,0.204,0.0,0.0,0.0
6:3.458,3.258,3.06,2.972,2.796,0.2,0.198,0.194,0.0,0.0
7:3.402,3.25,3.18,3.148,3.104,3.096,2.9,2.708,0.19,0.0
8:3.412,3.37,3.292,3.172,3.018,2.956,2.95,2.878,0.388,0.0
9:3.444,3.326,3.322,3.272,3.21,3.062,3.03,3.018,3.012,0.0
