1,51096,0
2,51191,0
3,47780,0
4,137073,0
5,-1,0
6,50839,0
7,0,0
8,51192,0
9,0,0
10,46601,0
11,51158,0
12,51129,0
13,50913,0
14,50781,0
15,46160,0
16,-1,0
17,51053,0
18,51455,0
19,51150,0
20,51048,0
21,50724,0
22,51026,0
23,50917,0
24,51114,0
25,51166,0
26,55379,0
27,0,0
28,-1,0
29,51230,0
30,51046,0
31,0,0
32,51128,0
33,51328,0
34,0,0
35,50252,0
36,46777,0
37,51904,0
38,51170,0
39,51138,0
40,51201,0
41,51247,0
42,0,0
43,50220,0
44,47143,0
45,48093,0
46,51110,0
47,39483,0
48,51145,0
49,51079,0
50,51245,0
